timestamp,model,num_weeks,basic_profit,llm_profit,graph_path
20251225_185126,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,1452.30,3013.05,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251225_185126.png
20251225_203109,xiaomi/mimo-v2-flash:free (Agent),52,-823.85,-799.72,profit_comparison_agentic_xiaomi_mimo-v2-flash_free_20251225_203109.png
20251225_203713,xiaomi/mimo-v2-flash:free (Agent),52,-826.85,-783.83,profit_comparison_agentic_xiaomi_mimo-v2-flash_free_20251225_203713.png
20251225_204447,xiaomi/mimo-v2-flash:free (Agent),52,-828.60,-802.13,profit_comparison_agentic_xiaomi_mimo-v2-flash_free_20251225_204447.png
20251225_205055,xiaomi/mimo-v2-flash:free (Agent),52,-799.95,-730.65,profit_comparison_agentic_xiaomi_mimo-v2-flash_free_20251225_205055.png
20251225_205903,xiaomi/mimo-v2-flash:free (Agent),52,-800.15,-780.08,profit_comparison_agentic_xiaomi_mimo-v2-flash_free_20251225_205903.png
20251225_210452,nvidia/nemotron-3-nano-30b-a3b:free (Agent),52,-818.85,-643.90,profit_comparison_agentic_nvidia_nemotron-3-nano-30b-a3b_free_20251225_210452.png
20251225_211007,nvidia/nemotron-3-nano-30b-a3b:free (Agent),52,-802.65,-653.50,profit_comparison_agentic_nvidia_nemotron-3-nano-30b-a3b_free_20251225_211007.png
20251225_211648,nvidia/nemotron-3-nano-30b-a3b:free (Agent),52,-832.90,-549.50,profit_comparison_agentic_nvidia_nemotron-3-nano-30b-a3b_free_20251225_211648.png
20251225_212229,nvidia/nemotron-3-nano-30b-a3b:free (Agent),52,-816.65,-650.21,profit_comparison_agentic_nvidia_nemotron-3-nano-30b-a3b_free_20251225_212229.png
20251225_212801,nvidia/nemotron-3-nano-30b-a3b:free (Agent),52,-797.95,-670.20,profit_comparison_agentic_nvidia_nemotron-3-nano-30b-a3b_free_20251225_212801.png
20251225_213823,mistralai/devstral-2512:free (Agent),52,-777.25,-530.10,profit_comparison_agentic_mistralai_devstral-2512_free_20251225_213823.png
20251225_214737,mistralai/devstral-2512:free (Agent),52,-800.70,-704.69,profit_comparison_agentic_mistralai_devstral-2512_free_20251225_214737.png
20251225_215807,mistralai/devstral-2512:free (Agent),52,-774.35,-612.69,profit_comparison_agentic_mistralai_devstral-2512_free_20251225_215807.png
20251225_220741,mistralai/devstral-2512:free (Agent),52,-819.00,-548.97,profit_comparison_agentic_mistralai_devstral-2512_free_20251225_220741.png
20251225_221855,mistralai/devstral-2512:free (Agent),52,-842.60,-557.90,profit_comparison_agentic_mistralai_devstral-2512_free_20251225_221855.png
20251225_224319,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,-799.10,-756.29,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251225_224319.png
20251225_230506,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,-794.00,-779.52,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251225_230506.png
20251225_232615,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,-826.30,-742.99,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251225_232615.png
20251225_234649,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,-810.20,-689.53,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251225_234649.png
20251226_001041,nex-agi/deepseek-v3.1-nex-n1:free (Agent),52,-805.20,-747.46,profit_comparison_agentic_nex-agi_deepseek-v3.1-nex-n1_free_20251226_001041.png
